Servicio;Programa;Económica;Explicación;Total (miles euros);Total (euros);
1;331M;10;Altos cargos;208,56;208.560,00;
1;331M;100;Retribuciones básicas y otras remuneraciones;208,56;208.560,00;
1;331M;10000;Retribuciones básicas;114,61;114.610,00;
1;331M;10001;Retribuciones complementarias;93,95;93.950,00;
1;331M;11;Personal eventual;533,77;533.770,00;
1;331M;110;Retribuciones básicas y otras remuneraciones;533,77;533.770,00;
1;331M;11000;Retribuciones básicas;200,08;200.080,00;
1;331M;11001;Retribuciones complementarias;333,69;333.690,00;
1;331M;12;Funcionarios;16.178,87;16.178.870,00;Total
1;331M;120;Retribuciones básicas;3.038,90;3.038.900,00;
1;331M;12000;Sueldos del grupo A1 y grupo A;507,82;507.820,00;
1;331M;12001;Sueldos del grupo A2 y grupo B;503,78;503.780,00;
1;331M;12002;Sueldos del grupo C1 y grupo C;592,69;592.690,00;208,56
1;331M;12003;Sueldos del grupo C2 y grupo D;401,38;401.380,00;208,56
1;331M;12005;Trienios;473,72;473.720,00;
1;331M;12006;Pagas extraordinarias;559,51;559.510,00;
1;331M;121;Retribuciones complementarias;13.139,97;13.139.970,00;533,77
1;331M;12100;Complemento de destino;1.340,42;1.340.420,00;533,77
1;331M;12101;Complemento específico;1.717,55;1.717.550,00;
1;331M;12181;Necesidades adicionales;10.082,00;10.082.000,00;
1;331M;13;Laborales;2.194,69;2.194.690,00;16.178,87
1;331M;130;Laboral fijo;1.964,45;1.964.450,00;3.038,90
1;331M;13000;Retribuciones básicas;1.800,68;1.800.680,00;
1;331M;13001;Otras remuneraciones;163,77;163.770,00;
1;331M;131;Laboral eventual;230,24;230.240,00;
1;331M;15;Incentivos al rendimiento;4.165,08;4.165.080,00;
1;331M;150;Productividad;4.077,83;4.077.830,00;
1;331M;151;Gratificaciones;87,25;87.250,00;
1;331M;16;Cuotas, prestaciones y gastos sociales;2.186,12;2.186.120,00;13.139,97
1;331M;160;Cuotas sociales;1.453,81;1.453.810,00;
1;331M;16000;Seguridad Social;1.453,81;1.453.810,00;
1;331M;162;Gastos sociales del personal;732,31;732.310,00;
1;331M;16200;Formación y perfeccionamiento del personal;210,38;210.380,00;2.194,69
1;331M;16202;Transporte de personal;27,96;27.960,00;1.964,45
1;331M;16204;Acción social;278,38;278.380,00;
1;331M;16205;Seguros;4,1;4.100,00;
1;331M;16209;Otros;211,49;211.490,00;230,24
1;331M;20;Arrendamientos y cánones;104;104.000,00;4.165,08
1;331M;202;Arrendamientos de edificios y otras construcciones;20;20.000,00;4.077,83
1;331M;205;Arrendamientos de mobiliario y enseres;5;5.000,00;87,25
1;331M;206;Arrendamientos de equipos para procesos de información;79;79.000,00;2.186,12
1;331M;21;Reparaciones, mantenimiento y conservación;648;648.000,00;1.453,81
1;331M;212;Edificios y otras construcciones;106,23;106.230,00;
1;331M;213;Maquinaria, instalaciones y utillaje;133,23;133.230,00;732,31
1;331M;215;Mobiliario y enseres;130,09;130.090,00;
1;331M;216;Equipos para procesos de la información;278,45;278.450,00;
1;331M;22;Material, suministros y otros;4.349,38;4.349.380,00;
1;331M;220;Material de oficina;292,8;292.800,00;
1;331M;22000;Ordinario no inventariable;45,5;45.500,00;
1;331M;22001;Prensa, revistas, libros y otras publicaciones;77,3;77.300,00;25.467,09
1;331M;22002;Material informático no inventariable;170;170.000,00;
1;331M;221;Suministros;1.809,60;1.809.600,00;
1;331M;22100;Energía eléctrica;1.491,15;1.491.150,00;104
1;331M;22101;Agua;23,1;23.100,00;20
1;331M;22102;Gas;6,99;6.990,00;5
1;331M;22103;Combustible;128,72;128.720,00;79
1;331M;22104;Vestuario;30;30.000,00;648
1;331M;22106;Productos farmacéuticos y material sanitario;47,96;47.960,00;106,23
1;331M;22111;Repuestos de maquinaria, utillaje y transporte;51,68;51.680,00;133,23
1;331M;22112;Material electrónico, eléctrico y comunicaciones;20;20.000,00;130,09
1;331M;22199;Otros suministros;10;10.000,00;278,45
1;331M;222;Comunicaciones;88,5;88.500,00;4.349,38
1;331M;22200;Servicios de telecomunicaciones;83,5;83.500,00;292,8
1;331M;22201;Postales y mensajería;5;5.000,00;
1;331M;223;Transportes;250;250.000,00;
1;331M;224;Primas de seguros;3;3.000,00;
1;331M;225;Tributos;235;235.000,00;1.809,60
1;331M;22502;Locales;235;235.000,00;
1;331M;226;Gastos diversos;319,54;319.540,00;
1;331M;22601;Atenciones protocolarias y representativas;28,67;28.670,00;
1;331M;22602;Publicidad y propaganda;30;30.000,00;
1;331M;22603;Jurídicos, contenciosos;5;5.000,00;
1;331M;22606;Reuniones, conferencias y cursos;170,87;170.870,00;
1;331M;22607;Oposiciones y pruebas selectivas;85;85.000,00;
1;331M;227;Trabajos realizados por otras empresas y profesionales;1.350,94;1.350.940,00;
1;331M;22705;Procesos electorales y consultas populares;2,2;2.200,00;
1;331M;22706;Estudios y trabajos técnicos;1.298,74;1.298.740,00;88,5
1;331M;22799;Otros;50;50.000,00;
1;331M;23;Indemnizaciones por razón del servicio;758;758.000,00;
1;331M;230;Dietas;150;150.000,00;250
1;331M;231;Locomoción;150;150.000,00;3
1;331M;232;Traslado;3;3.000,00;235
1;331M;233;Otras indemnizaciones;455;455.000,00;
1;331M;35;Intereses de demora y otros gastos financieros;3,5;3.500,00;
1;331M;352;Intereses de demora;3,5;3.500,00;
1;331M;48;A familias e instituciones sin fines de lucro;36,5;36.500,00;
1;331M;480;Pensiones complementarias del personal de MECSE;36,5;36.500,00;
1;331M;62;Inversión nueva asociada al funcionamiento operativo de los servicios;150;150.000,00;1.350,94
1;331M;620;Inversión nueva asociada al funcionamiento operativo de los servicios;150;150.000,00;
1;331M;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;1.673,00;1.673.000,00;
1;331M;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;1.673,00;1.673.000,00;
1;331M;64;Gastos de inversiones de carácter inmaterial;1.724,00;1.724.000,00;758
1;331M;640;Gastos en inversiones de carácter inmaterial;1.724,00;1.724.000,00;150
1;331M;83;Concesión de préstamos fuera del Sector Público;133,94;133.940,00;150
1;331M;830;Préstamos a corto plazo;10,37;10.370,00;3
1;331M;83008;Familias e instituciones sin fines de lucro;10,37;10.370,00;455
1;331M;831;Préstamos a largo plazo;123,57;123.570,00;5.859,38
1;331M;83108;Familias e instituciones sin fines de lucro;123,57;123.570,00;
1;331M;;Dirección y Servicios Generales de Cultura;35.047,41;35.047.410,00;3,5
1;334A;48;A familias e instituciones sin fines de lucro;210.350,00;210.350.000,00;3,5
1;334A;482;Bono cultural joven;210.000,00;210.000.000,00;
