;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;;
;;
;Sección: 27 MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Servicio;Programa;Económica;Explicación;;Total;
v;01;;;MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;;
v;;923Q;;Dirección y Servicios Generales de Economía, Comercio y Empresa;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;10;Altos cargos;;416,91;
;;;100;Retribuciones básicas y otras remuneraciones;;416,91;
;;;10000; Retribuciones básicas;177,19;;
;;;10001; Retribuciones complementarias;239,72;;
v;;;11;Personal eventual;;718,75;
;;;110;Retribuciones básicas y otras remuneraciones;;718,75;
;;;11000; Retribuciones básicas;220,25;;
;;;11001; Retribuciones complementarias;498,50;;
v;;;12;Funcionarios;;20.752,61;
;;;120;Retribuciones básicas;;4.119,21;
;;;12000; Sueldos del grupo A1 y grupo A;1.013,74;;
;;;12001; Sueldos del grupo A2 y grupo B;631,07;;
;;;12002; Sueldos del grupo C1 y grupo C;827,03;;
;;;12003; Sueldos del grupo C2 y grupo D;336,52;;
;;;12005; Trienios;542,21;;
;;;12006; Pagas extraordinarias;768,64;;
;;;121;Retribuciones complementarias;;16.460,04;
;;;12100; Complemento de destino;1.997,86;;
;;;12101; Complemento específico;2.785,18;;
;;;12181; Necesidades adicionales;11.677,00;;
;;;123;Indemnizaciones percibidas por destino en el extranjero;;173,36;
v;;;13;Laborales;;1.935,25;
;;;130;Laboral fijo;;1.836,70;
;;;13000; Retribuciones básicas;1.821,80;;
;;;13001; Otras remuneraciones;14,90;;
;;;131;Laboral eventual;;98,55;
v;;;15;Incentivos al rendimiento;;3.251,50;
v;;;150;Productividad;;3.153,99;
v;;;151;Gratificaciones;;97,51;
v;;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;3.047,40;
;;;160;Cuotas sociales;;1.909,96;
v;;;16000; Seguridad Social;1.909,96;;
;;;162;Gastos sociales del personal;;1.137,44;
v;;;16200; Formación y perfeccionamiento del personal;224,50;;
v;;;16201; Economatos y comedores;129,43;;
v;;;16204; Acción social;464,25;;
;;;16205; Seguros;95,00;;
;;;16209; Otros;224,26;;
;;;;TOTAL GASTOS DE PERSONAL;;30.122,42;
 ; ;;;;;;
