;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por capítulos del presupuesto de gastos;
;;
;Sección: 27 MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;Total;
1; GASTOS DE PERSONAL;157.534,44;
2; GASTOS CORRIENTES EN BIENES Y SERVICIOS;78.100,51;
3; GASTOS FINANCIEROS;27.825,02;
4; TRANSFERENCIAS CORRIENTES;606.020,77;
;TOTAL OPERACIONES CORRIENTES;869.480,74;
6; INVERSIONES REALES;17.071,30;
7; TRANSFERENCIAS DE CAPITAL;286.143,30;
;TOTAL OPERACIONES DE CAPITAL;303.214,60;
;TOTAL OPERACIONES NO FINANCIERAS;1.172.695,34;
8; ACTIVOS FINANCIEROS;1.336.888,66;
;TOTAL Capítulos 1-8;2.509.584,00;
9; PASIVOS FINANCIEROS;1,00;
;TOTAL Capítulo 9;1,00;
;TOTAL PRESUPUESTO;2.509.585,00;
4; TRANSFERENCIAS CORRIENTES;-193.756,19;
7; TRANSFERENCIAS DE CAPITAL;-27.966,83;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;-221.723,02;
;TOTAL CONSOLIDADO;2.287.861,98;
;;



