;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por capítulos del presupuesto de gastos;
;;
;Sección: 28 MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;Total;
1; GASTOS DE PERSONAL;58.731,69;
2; GASTOS CORRIENTES EN BIENES Y SERVICIOS;28.211,23;
3; GASTOS FINANCIEROS;36,00;
4; TRANSFERENCIAS CORRIENTES;1.052.325,09;
;TOTAL OPERACIONES CORRIENTES;1.139.304,01;
6; INVERSIONES REALES;6.384,48;
7; TRANSFERENCIAS DE CAPITAL;3.272.667,85;
;TOTAL OPERACIONES DE CAPITAL;3.279.052,33;
;TOTAL OPERACIONES NO FINANCIERAS;4.418.356,34;
8; ACTIVOS FINANCIEROS;3.029.918,53;
;TOTAL PRESUPUESTO;7.448.274,87;
4; TRANSFERENCIAS CORRIENTES;-714.096,27;
7; TRANSFERENCIAS DE CAPITAL;-1.799.967,10;
8; ACTIVOS FINANCIEROS;-4.163,97;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;-2.518.227,34;
;TOTAL CONSOLIDADO;4.930.047,53;
;;



