;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por capítulos del presupuesto de gastos;
;;
;Sección: 29 MINISTERIO DE DERECHOS SOCIALES, CONSUMO Y AGENDA 2030;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;Total;
1; GASTOS DE PERSONAL;41.772,03;
2; GASTOS CORRIENTES EN BIENES Y SERVICIOS;25.641,80;
3; GASTOS FINANCIEROS;5,00;
4; TRANSFERENCIAS CORRIENTES;4.145.544,13;
;TOTAL OPERACIONES CORRIENTES;4.212.962,96;
6; INVERSIONES REALES;6.753,85;
7; TRANSFERENCIAS DE CAPITAL;21.816,95;
;TOTAL OPERACIONES DE CAPITAL;28.570,80;
;TOTAL OPERACIONES NO FINANCIERAS;4.241.533,76;
8; ACTIVOS FINANCIEROS;92,88;
;TOTAL PRESUPUESTO;4.241.626,64;
4; TRANSFERENCIAS CORRIENTES;-3.678.265,00;
7; TRANSFERENCIAS DE CAPITAL;-13.723,95;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;-3.691.988,95;
;TOTAL CONSOLIDADO;549.637,69;
;;



