Económica;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;11.289,93;11.289.930
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;3.208,14;3.208.140
4;TRANSFERENCIAS CORRIENTES;49.060,25;49.060.250
—;TOTAL OPERACIONES CORRIENTES;63.558,32;63.558.320
6;INVERSIONES REALES;7.005,00;7.005.000
7;TRANSFERENCIAS DE CAPITAL;90.299,22;90.299.220
—;TOTAL OPERACIONES DE CAPITAL;97.304,22;97.304.220
—;TOTAL OPERACIONES NO FINANCIERAS;160.862,54;160.862.540
—;TOTAL PRESUPUESTO;160.862,54;160.862.540
4;TRANSFERENCIAS CORRIENTES (entre subsectores);–12.311,64;–12.311.640
7;TRANSFERENCIAS DE CAPITAL (entre subsectores);–247,22;–247.220
—;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;–12.558,86;–12.558.860
—;TOTAL CONSOLIDADO;148.303,68;148.303.680
