Económica;Explicación;33.01;33.02;33.03;33.04;33.05;33.06;33.50;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;10.203,15;1.760,34;19.324,78;10.294,88;12.875,15;16.691,83;—;71.150,13;71.150.130
10;Altos cargos;208,56;61,04;141,34;141,34;71,16;263,42;—;886,86;886.860
11;Personal eventual;521,72;—;270,97;262,18;—;253,4;—;1.308,27;1.308.270
12;Funcionarios;6.443,18;1.451,53;13.419,45;6.045,82;10.682,45;11.729,91;—;49.772,34;49.772.340
13;Laborales;229,44;46,28;2.481,89;660;388,88;140;—;3.946,49;3.946.490
15;Incentivos al rendimiento;1.854,71;—;1.090,65;2.042,18;—;3.079,44;—;8.066,98;8.066.980
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;945,54;201,49;1.920,48;1.143,36;1.732,66;1.225,66;—;7.169,19;7.169.190
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;8.297,23;56;1.958,53;5.924,08;16.976,86;1.405,72;1.419,99;36.038,41;36.038.410
20;Arrendamientos y cánones;645,00;—;120,00;—;—;180,00;—;945;945.000,00
21;Reparaciones, mantenimiento y conservación;342,62;—;—;—;4.260,45;55,03;—;4.658,10;4.658.100
22;Material, suministros y otros;7.163,61;28;1.500,65;5.586,58;12.639,71;897,94;—;27.816,49;27.816.490,00
23;Indemnizaciones por razón del servicio;146,00;10,00;337,88;337,50;76,70;272,75;—;1.180,83;1.180.830,00
24;Gastos de publicaciones;—;18;—;—;—;—;—;18;18.000,00
29;Gastos corrientes MRR;—;—;—;—;—;—;1.419,99;1.419,99;1.419.990,00
4;TRANSFERENCIAS CORRIENTES;—;—;2.864,78;2.582,84;—;1.344,69;4.680,00;11.472,31;11.472.310,00
6;INVERSIONES REALES;2.254,08;—;18.881,04;19.482,76;17.607,34;1.076,00;377.628,28;436.929,50;436.929.500,00
7;TRANSFERENCIAS DE CAPITAL;—;—;6.750,00;35.400,00;—;—;3.860.500,00;3.902.650,00;3.902.650.000
8;ACTIVOS FINANCIEROS;12,22;—;7.000,00;160.825,40;—;—;812.000,00;979.837,62;979.837.620,00
—;TOTAL CONSOLIDADO;20.766,68;1.816,34;56.779,13;234.509,96;47.459,35;52.140,05;5.056.228,27;5.438.077,97;5.438.077.970,00
—;TRANSFERENCIAS ENTRE SUBSECTORES;—;—;—;—;—;—;33.906,27;33.906,27;33.906.270,00
—;TOTAL PRESUPUESTO;20.766,68;1.816,34;56.779,13;234.509,96;47.459,35;52.140,05;5.058.512,73;5.471.984,24;5.471.984.240,00
