Servicio;Programa;Económica;Explicación;Total (miles euros);Total (euros)
1;943M;35;Intereses de demora y otros gastos financieros;12.500,00;12.500.000
1;943M;358;Intereses de demora a la Unión Europea;12.500,00;12.500.000
1;943M;49;Al exterior;17.766.350,00;17.766.350.000
1;943M;491;Recurso propio procedente del IVA;1.950.000,00;1.950.000.000
1;943M;492;Recurso propio basado en la Renta Nacional Bruta (RNB);12.177.050,00;12.177.050.000
1;943M;493;Recursos propios tradicionales;3.100.000,00;3.100.000.000
1;943M;494;Prestación de servicios;3.000,00;3.000.000
1;943M;495;Indemnizaciones, multas y sanciones;1.000,00;1.000.000
1;943M;496;Fondo de Refugiados para Turquía;10.300,00;10.300.000
1;943M;497;Residuos de envases de plástico no reciclados;525.000,00;525.000.000
—;—;—;TOTAL Transferencias al Presupuesto General de la Unión Europea;17.778.850,00;17.778.850.000
1;943N;49;Aportación al Fondo Europeo de Apoyo a la Paz;94.000,00;94.000.000
1;943N;79;Aportación al Fondo Europeo de Desarrollo (FED);170.000,00;170.000.000
—;—;—;TOTAL Cooperación a través del FED y del Fondo Europeo de Apoyo a la Paz;264.000,00;264.000.000
 ; ;;TOTAL DIRECCIÓN GENERAL FONDOS COMUNITARIOS;18.042.850,00;18.042.850.000
;;;TOTAL SECCIÓN 34 — RELACIONES FINANCIERAS CON LA UNIÓN EUROPEA;18.042.850,00;18.042.850.000
