;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;;
;;
;Sección: 34 RELACIONES FINANCIERAS CON LA UNIÓN EUROPEA;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Servicio;Programa;Económica;Explicación;;Total;
v;01;;;DIRECCIÓN GENERAL FONDOS COMUNITARIOS. RELACIONES FINANCIERAS CON LA UNIÓN EUROPEA;;;
v;;943M;;Transferencias al Presupuesto General de la Unión Europea;;;
v;;;3;GASTOS FINANCIEROS;;;
v;;;35;Intereses de demora y otros gastos financieros;;12.500,00;
v;;;358;Intereses de demora a la Unión Europea, incluso obligaciones de ejercicios anteriores;;12.500,00;
;;;;TOTAL GASTOS FINANCIEROS;;12.500,00;
 ; ;;;;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;49;Al exterior;;17.766.350,00;
v;;;491;Aportación a la Unión Europea por recurso propio procedente del IVA;;1.950.000,00;
v;;;492;Aportación a la Unión Europea por recurso propio basado en la Renta Nacional Bruta (RNB);;12.177.050,00;
v;;;493;Aportación a la Unión Europea por la recaudación líquida en España de los recursos propios tradicionales, incluso obligaciones de ejercicios anteriores;;3.100.000,00;
v;;;494;Aportación a la Unión Europea por prestación de servicios;;3.000,00;
v;;;495;Aportación a la Unión Europea para el pago de indemnizaciones, multas y sanciones;;1.000,00;
v;;;496;Aportación a la Unión Europea para el Fondo de Refugiados para Turquía;;10.300,00;
v;;;497;Aportación a la Unión Europea por recurso propio basado en los residuos de envases de plástico no reciclados;;525.000,00;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;17.766.350,00;
 ; ;;;;;;
;;;;TOTAL Transferencias al Presupuesto General de la Unión Europea;;17.778.850,00;
 ; ;;;;;;
v;;943N;;Cooperación a través del Fondo Europeo de Desarrollo y del Fondo Europeo de Apoyo a la Paz;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;49;Al exterior;;94.000,00;
v;;;499;Aportación al Fondo Europeo de Apoyo a la Paz;;94.000,00;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;94.000,00;
 ; ;;;;;;
v;;;7;TRANSFERENCIAS DE CAPITAL;;;
v;;;79;Al exterior;;170.000,00;
v;;;791;Aportación al Fondo Europeo de Desarrollo (FED);;170.000,00;
;;;;TOTAL TRANSFERENCIAS DE CAPITAL;;170.000,00;
 ; ;;;;;;
;;;;TOTAL Cooperación a través del Fondo Europeo de Desarrollo y del Fondo Europeo de Apoyo a la Paz;;264.000,00;
 ; ;;;;;;
;;;;TOTAL DIRECCIÓN GENERAL FONDOS COMUNITARIOS. RELACIONES FINANCIERAS CON LA UNIÓN EUROPEA;;18.042.850,00;
 ; ;;;;;;
 ; ;;;;;;
;;;;TOTAL RELACIONES FINANCIERAS CON LA UNIÓN EUROPEA;;18.042.850,00;
;;



