Servicio;Programa;Económica;Explicación;Total (miles €);Total (€)
3;941N;755;Fondo de Compensación — Galicia;28.935,84;28.935.840
3;941N;756;Fondo Complementario — Galicia;9.644,32;9.644.320
4;941N;755;Fondo de Compensación — Andalucía;120.432,68;120.432.680
4;941N;756;Fondo Complementario — Andalucía;40.140,21;40.140.210
5;941N;755;Fondo de Compensación — Asturias;10.482,17;10.482.170
5;941N;756;Fondo Complementario — Asturias;3.493,71;3.493.710
6;941N;755;Fondo de Compensación — Cantabria;3.617,38;3.617.380
6;941N;756;Fondo Complementario — Cantabria;1.205,67;1.205.670
8;941N;755;Fondo de Compensación — Murcia;15.465,55;15.465.550
8;941N;756;Fondo Complementario — Murcia;5.154,66;5.154.660
9;941N;755;Fondo de Compensación — Comunidad Valenciana;39.787,97;39.787.970
9;941N;756;Fondo Complementario — Comunidad Valenciana;13.261,33;13.261.330
11;941N;755;Fondo de Compensación — Castilla-La Mancha;24.970,64;24.970.640
11;941N;756;Fondo Complementario — Castilla-La Mancha;8.322,71;8.322.710
12;941N;755;Fondo de Compensación — Canarias;46.592,68;46.592.680
12;941N;756;Fondo Complementario — Canarias;15.529,34;15.529.340
14;941N;755;Fondo de Compensación — Extremadura;16.120,09;16.120.090
14;941N;756;Fondo Complementario — Extremadura;5.372,83;5.372.830
17;941N;755;Fondo de Compensación — Castilla y León;12.961,21;12.961.210
17;941N;756;Fondo Complementario — Castilla y León;4.319,97;4.319.970
18;941N;755;Fondo de Compensación — Ceuta;2.482,20;2.482.200
18;941N;756;Fondo Complementario — Ceuta;827,32;827.320
19;941N;755;Fondo de Compensación — Melilla;2.482,20;2.482.200
19;941N;756;Fondo Complementario — Melilla;827,32;827.320
20;941N;759;Incorporación de remanentes — Varias CC.AA.;150.000,00;150.000.000
;;;TOTAL FONDOS DE COMPENSACIÓN INTERTERRITORIAL;582.430,00;582.430.000,00
