;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;;
;;
;Sección: 36 FONDOS DE COMPENSACIÓN INTERTERRITORIAL;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Servicio;Programa;Económica;Explicación;;Total;
v;03;;;SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. GALICIA;;;
v;;941N;;Transferencias a Comunidades Autónomas por los Fondos de Compensación Interterritorial;;;
v;;;7;TRANSFERENCIAS DE CAPITAL;;;
v;;;75;A Comunidades Autónomas;;38.580,16;
v;;;755;Fondo de Compensación;;28.935,84;
v;;;756;Fondo Complementario;;9.644,32;
;;;;TOTAL TRANSFERENCIAS DE CAPITAL;;38.580,16;
 ; ;;;;;;
;;;;TOTAL Transferencias a Comunidades Autónomas por los Fondos de Compensación Interterritorial;;38.580,16;
 ; ;;;;;;
;;;;TOTAL SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. GALICIA;;38.580,16;
 ; ;;;;;;
 ; ;;;;;;
v;04;;;SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. ANDALUCÍA;;;
v;;941N;;Transferencias a Comunidades Autónomas por los Fondos de Compensación Interterritorial;;;
v;;;7;TRANSFERENCIAS DE CAPITAL;;;
v;;;75;A Comunidades Autónomas;;160.572,89;
v;;;755;Fondo de Compensación;;120.432,68;
v;;;756;Fondo Complementario;;40.140,21;
;;;;TOTAL TRANSFERENCIAS DE CAPITAL;;160.572,89;
 ; ;;;;;;
;;;;TOTAL Transferencias a Comunidades Autónomas por los Fondos de Compensación Interterritorial;;160.572,89;
 ; ;;;;;;
;;;;TOTAL SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. ANDALUCÍA;;160.572,89;
 ; ;;;;;;
 ; ;;;;;;
v;05;;;SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. PRINCIPADO DE ASTURIAS;;;
v;;941N;;Transferencias a Comunidades Autónomas por los Fondos de Compensación Interterritorial;;;
v;;;7;TRANSFERENCIAS DE CAPITAL;;;
v;;;75;A Comunidades Autónomas;;13.975,88;
