;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;;
;;
;Sección: 37 OTRAS RELACIONES FINANCIERAS CON ENTES TERRITORIALES;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Servicio;Programa;Económica;Explicación;;Total;
v;01;;;SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. COMUNIDADES AUTÓNOMAS;;;
v;;453A;;Infraestructura del transporte ferroviario;;;
v;;;7;TRANSFERENCIAS DE CAPITAL;;;
v;;;75;A Comunidades Autónomas;;10.556,17;
v;;;751;A la Comunidad Autónoma de Andalucía;;10.556,17;
v;;;75100; Para la financiación de infraestructuras del transporte metropolitano de Sevilla, según convenio suscrito con el Estado;5.586,73;;
v;;;75101; Para la financiación de infraestructuras del transporte metropolitano de Málaga, según convenio suscrito con el Estado;4.969,44;;
;;;;TOTAL TRANSFERENCIAS DE CAPITAL;;10.556,17;
 ; ;;;;;;
;;;;TOTAL Infraestructura del transporte ferroviario;;10.556,17;
 ; ;;;;;;
v;;941O;;Otras transferencias a Comunidades Autónomas;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;45;A Comunidades Autónomas;;101.726,02;
v;;;451;Transferencias a las Comunidades Autónomas y a las Ciudades de Ceuta y Melilla. Línea COVID Real Decreto-ley 5/2021, incluyendo ejercicios anteriores;;50.000,00;
v;;;454;Actuaciones en diversas Comunidades Autónomas;;50.000,00;
v;;;45411; A la Comunidad Autónoma de Canarias para Atención a Menores Inmigrantes;50.000,00;;
v;;;459;Otras transferencias a Comunidades Autónomas;;1.726,02;
v;;;45902; País Vasco por costes de traspaso fuera de cupo;1.152,75;;
v;;;45903; Navarra por costes de traspaso fuera de la aportación;573,27;;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;101.726,02;
 ; ;;;;;;
v;;;7;TRANSFERENCIAS DE CAPITAL;;;
v;;;75;A Comunidades Autónomas;;271.461,22;
v;;;753;Factor de Insularidad (Título III del Real Decreto-ley 4/2019, de 22 de febrero, del Régimen Especial de las Illes Balears);;109.661,22;
v;;;754;Actuaciones en diversas Comunidades Autónomas;;106.000,00;
v;;;75409; A la Generalitat de Catalunya para la financiación del proyecto Catalunya Media City;60.000,00;;
v;;;75410; A la Generalitat de Catalunya para actuaciones de transición energética en edificaciones del Cuerpo de Mossos d'Esquadra;25.000,00;;
v;;;75411; A la Generalitat de Catalunya para actuaciones de transición energética en las flotas de vehículos del Cuerpo de Mossos d'Esquadra;18.000,00;;
v;;;75412; Al Gobierno de Navarra para recuperación del Fuerte de San Cristóbal para su reconversión en lugar de memoria según la D.A. 17ª de la Ley 20/2022;3.000,00;;
v;;;755;A la Comunidad Autónoma de Cantabria para financiar proyectos de inversión y gastos complementarios;;55.000,00;
v;;;757;A la Comunidad Autónoma de La Rioja para financiar proyectos de inversión. Rehabilitación y reforma de IES Sagasta de Logroño;;800,00;
;;;;TOTAL TRANSFERENCIAS DE CAPITAL;;271.461,22;
 ; ;;;;;;
;;;;TOTAL Otras transferencias a Comunidades Autónomas;;373.187,24;
 ; ;;;;;;
;;;;TOTAL SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. COMUNIDADES AUTÓNOMAS;;383.743,41;
 ; ;;;;;;
 ; ;;;;;;
v;02;;;SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. ENTIDADES LOCALES;;;
v;;942N;;Otras transferencias a Entidades Locales;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;46;A Entidades Locales;;1.708.840,56;
v;;;461;Compensaciones que puedan reconocerse a los municipios;;5.362,40;
v;;;463;A Entidades Locales con saldo global negativo de la liquidación de 2020;;1.681.828,16;
v;;;464;Financiación de los costes de funcionamiento de las plantas desalinizadoras de las Ciudades de Ceuta y de Melilla;;8.000,00;
v;;;465;Para financiar actuaciones en Melilla;;10.250,00;
v;;;466;Para financiar actuaciones en Ceuta;;3.250,00;
v;;;469;Actuaciones en diversas Entidades Locales;;150,00;
v;;;46903; SALINAS DE AÑANA para la fundación valle salado;150,00;;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;1.708.840,56;
 ; ;;;;;;
v;;;7;TRANSFERENCIAS DE CAPITAL;;;
v;;;76;A Entidades Locales;;198.552,30;
v;;;765;Para financiar inversiones en municipios del Campo de Gibraltar;;7.300,00;
v;;;766;Para reconstrucción de infraestructuras como consecuencia de siniestros, catástrofes u otras situaciones de reconocida urgencia;;58.322,99;
v;;;768;Plan de recuperación de La Palma;;100.000,00;
v;;;769;Actuaciones en diversas Entidades Locales;;32.929,31;
v;;;76910; A la Diputación Foral de Gipuzkoa para la adquisición de terrenos y construcción del nuevo albergue. Orio;5.000,00;;
v;;;76911; Al Ayuntamiento de Sukarrieta para Proyecto constructivo de reparación del camino peatonal entre los PK 24+310 y 24+638 de la línea Amorebieta-Bermeo en Sukarrieta;600,00;;
v;;;76912; A la Diputación Foral de Bizkaia actuaciones singulares de desarrollo sostenible en el entorno del Estuario de Urdaibai;25.329,31;;
v;;;76913; Al Ayuntamiento de Vilanova i la Geltrú para espacio social y comunitario. Edificio Calderas;2.000,00;;
;;;;TOTAL TRANSFERENCIAS DE CAPITAL;;198.552,30;
 ; ;;;;;;
;;;;TOTAL Otras transferencias a Entidades Locales;;1.907.392,86;
 ; ;;;;;;
;;;;TOTAL SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. ENTIDADES LOCALES;;1.907.392,86;
 ; ;;;;;;
 ; ;;;;;;
;;;;TOTAL OTRAS RELACIONES FINANCIERAS CON ENTES TERRITORIALES;;2.291.136,27;
;;



