;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;;
;;
;Sección: 38 SISTEMAS DE FINANCIACIÓN DE ENTES TERRITORIALES;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Servicio;Programa;Económica;Explicación;;Total;
v;01;;;SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. PAÍS VASCO;;;
v;;941O;;Otras transferencias a Comunidades Autónomas;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;45;A Comunidades Autónomas;;141.500,00;
v;;;456;Compensación financiera al País Vasco derivada del Impuesto Especial sobre las Labores de Tabaco, incluso liquidación definitiva del ejercicio anterior;;120.500,00;
v;;;458;Financiación del Estado del coste de la jubilación anticipada de la policía autónoma vasca;;21.000,00;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;141.500,00;
 ; ;;;;;;
;;;;TOTAL Otras transferencias a Comunidades Autónomas;;141.500,00;
 ; ;;;;;;
;;;;TOTAL SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. PAÍS VASCO;;141.500,00;
 ; ;;;;;;
 ; ;;;;;;
v;02;;;SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CATALUÑA;;;
v;;941M;;Transferencias a Comunidades Autónomas por participación en los ingresos del Estado;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;45;A Comunidades Autónomas;;1.415.346,37;
v;;;451;Fondo de Suficiencia Global;;1.079.014,27;
v;;;452;A la Comunidad Autónoma de Cataluña, en concepto de regularización de la financiación revisada de los Mossos d'Esquadra, incluyendo ejercicios anteriores;;336.332,10;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;1.415.346,37;
 ; ;;;;;;
;;;;TOTAL Transferencias a Comunidades Autónomas por participación en los ingresos del Estado;;1.415.346,37;
 ; ;;;;;;
v;;941O;;Otras transferencias a Comunidades Autónomas;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;45;A Comunidades Autónomas;;36.000,00;
v;;;458;Financiación del Estado del coste de la jubilación anticipada de la policía de la Generalitat-Mossos d'Esquadra;;36.000,00;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;36.000,00;
 ; ;;;;;;
;;;;TOTAL Otras transferencias a Comunidades Autónomas;;36.000,00;
 ; ;;;;;;
;;;;TOTAL SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CATALUÑA;;1.451.346,37;
 ; ;;;;;;
 ; ;;;;;;
v;03;;;SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. GALICIA;;;
v;;941M;;Transferencias a Comunidades Autónomas por participación en los ingresos del Estado;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;45;A Comunidades Autónomas;;725.491,70;
v;;;451;Fondo de Suficiencia Global;;725.491,70;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;725.491,70;
 ; ;;;;;;
;;;;TOTAL Transferencias a Comunidades Autónomas por participación en los ingresos del Estado;;725.491,70;
 ; ;;;;;;
;;;;TOTAL SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. GALICIA;;725.491,70;
 ; ;;;;;;
 ; ;;;;;;
v;04;;;SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. ANDALUCÍA;;;
v;;941M;;Transferencias a Comunidades Autónomas por participación en los ingresos del Estado;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;45;A Comunidades Autónomas;;609.610,05;
v;;;451;Fondo de Suficiencia Global;;609.610,05;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;609.610,05;
 ; ;;;;;;
;;;;TOTAL Transferencias a Comunidades Autónomas por participación en los ingresos del Estado;;609.610,05;
 ; ;;;;;;
;;;;TOTAL SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. ANDALUCÍA;;609.610,05;
 ; ;;;;;;
 ; ;;;;;;
v;05;;;SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. PRINCIPADO DE ASTURIAS;;;
v;;941M;;Transferencias a Comunidades Autónomas por participación en los ingresos del Estado;;;
