Orgánica;Explicación;Cap. 1;Cap. 2;Cap. 3;Cap. 4;Cap. 6;Cap. 7;Cap. 8;Cap. 9;Total (miles euros);Total (euros)
13.101;Centro de Estudios Jurídicos;9.240,68;4.965,49;5;5.274,91;777;–;4,07;–;20.267,15;20.267.150,00
13.102;Mutualidad General Judicial;6.272,16;79.219,62;0,57;42.054,99;614,67;–;10,82;–;128.172,83;128.172.830,00
13.103;Centro de Estudios Políticos y Constitucionales;2.618,31;1.424,20;–;166,1;300;–;10,03;–;4.518,64;4.518.640,00
13.104;Centro de Investigaciones Sociológicas;4.771,20;6.582,89;–;258;1.035,00;–;12,02;–;12.659,11;12.659.110,00
13.105;Consejo de Administración del Patrimonio Nacional;60.911,78;44.414,11;25;1.213,54;41.122,28;500;447,5;60;148.694,21;148.694.210,00
14.101;Instituto Nacional de Técnica Aeroespacial Esteban Terradas;78.288,35;56.399,13;310;1.669,78;58.852,14;250;–;250;196.019,40;196.019.400,00
14.107;Instituto de Vivienda, Infraestructura y Equipamiento de la Defensa;14.568,44;34.940,25;70;–;55.388,25;149.912,25;100;130;255.109,19;255.109.190,00
14.113;Instituto Social de las Fuerzas Armadas;21.927,37;557.607,62;3,01;257.737,46;1.000,33;–;198,2;2;838.475,99;838.475.990,00
15.101;Instituto de Estudios Fiscales;20.907,73;11.760,93;6,75;396,19;1.430,00;–;71,48;–;34.573,08;34.573.080,00
15.104;Comisionado para el Mercado de Tabacos;3.193,99;4.443,20;90,15;21.453,66;–;–;990,57;–;30.171,57;30.171.570,00
15.107;Parque Móvil del Estado;42.124,57;4.783,23;25;1.500,00;–;–;101,52;–;48.534,32;48.534.320,00
16.101;Jefatura Central de Tráfico;530.803,08;196.404,61;52,89;136.826,82;115.161,31;–;–;598,31;979.847,02;979.847.020,00
16.102;Gerencia de Infraestructuras y Equipamiento de la Seguridad del Estado;1.772,21;483,53;–;–;11.100,00;2.000,00;–;10;15.365,74;15.365.740,00
16.103;Centro Universitario de Formación de la Policía Nacional;922,1;2.827,90;–;–;–;–;–;–;3.750,00;3.750.000,00
17.101;Centro de Estudios y Experimentación de Obras Públicas;21.118,43;6.179,08;–;319,72;6.744,47;–;–;–;34.400,02;34.400.020,00
17.102;Centro Nacional de Información Geográfica;2.929,92;2.523,30;12,78;41;7.839,36;–;27,6;–;13.373,96;13.373.960,00
18.106;Consejo Superior de Deportes;13.155,23;63.937,85;160;202.539,22;31.769,63;72.127,66;642,51;–;384.332,10;384.332.100,00
19.101;Servicio Público de Empleo Estatal;371.388,73;76.931,47;239,76;27.306.668,43;11.914,32;678,89;794;–;27.768.615,60;27.768.615.600,00
19.102;Fondo de Garantía Salarial;18.630,43;9.553,16;202,24;800.053,23;1.467,50;–;147,12;–;830.053,68;830.053.680,00
19.103;Organismo Estatal Inspección de Trabajo y Seguridad Social;169.053,15;29.710,60;–;4.291,73;75,36;–;–;–;203.130,84;203.130.840,00
19.104;Instituto Nacional de Seguridad y Salud en el Trabajo;19.291,57;20.140,91;0,46;26.628,01;1.355,00;–;86,71;–;67.502,66;67.502.660,00
20.102;Oficina Española de Patentes y Marcas;23.690,00;11.111,74;27,36;9.393,17;9.945,00;–;73,75;–;54.241,02;54.241.020,00
20.103;Centro Español de Metrología;3.870,01;2.942,02;0,88;252,62;10.408,91;–;7,65;–;17.482,09;17.482.090,00
20.104;Instituto de Turismo de España;23.212,13;12.290,94;127;1.351,34;77.200,98;–;134,36;–;114.316,75;114.316.750,00
21.101;Agencia de Información y Control Alimentarios;4.092,10;3.656,05;–;–;1.540,00;–;–;17,33;9.305,48;9.305.480,00
21.102;Entidad Estatal de Seguros Agrarios;2.205,96;1.277,29;15;318.855,15;601,24;–;18,16;–;322.972,80;322.972.800,00
21.103;Fondo Español de Garantía Agraria;12.204,27;7.860,65;–;5.693.209,14;34.208,87;1.609.487,01;100;–;7.357.069,94;7.357.069.940,00
23.101;Parques Nacionales;9.366,42;13.473,79;15,5;1.055,52;133.143,11;4.772,41;15;–;161.841,75;161.841.750,00
23.102;Confederación Hidrográfica del Cantábrico;9.657,55;3.500,00;–;47;151;12.000,00;–;30;25.385,55;25.385.550,00
23.103;Confederación Hidrográfica del Duero;19.669,27;30.961,73;781,33;30,56;44.952,00;–;–;100;96.494,89;96.494.890,00
23.104;Confederación Hidrográfica del Ebro;32.150,37;38.612,50;18,5;815,52;37.905,00;–;–;100;109.646,89;109.646.890,00
23.105;Confederación Hidrográfica del Guadalquivir;24.458,45;61.592,26;250;1.035,53;88.358,57;13.200,00;–;162,04;224.556,85;224.556.850,00
23.106;Confederación Hidrográfica del Guadiana;18.692,82;15.375,23;50;–;31.300,00;1.000,00;–;47,92;66.465,97;66.465.970,00
23.107;Confederación Hidrográfica del Júcar;15.434,31;18.416,30;600;156,36;19.000,00;–;–;435;54.076,97;54.076.970,00
23.108;Confederación Hidrográfica del Miño-Sil;6.243,29;11.048,86;20;40,43;30.740,00;–;–;20;48.162,58;48.162.580,00
23.109;Confederación Hidrográfica del Segura;12.181,14;67.514,80;126,76;2.860,77;18.199,33;15.623,55;–;65,15;116.571,50;116.571.500,00
23.110;Confederación Hidrográfica del Tajo;18.277,92;17.867,05;570;48,02;31.813,30;–;–;670;69.271,29;69.271.290,00
23.111;Mancomunidad de los Canales del Taibilla;13.348,00;171.005,13;620;113,04;54.846,67;1.500,00;–;1.120,00;242.552,84;242.552.840,00
23.112;Instituto para la Transición Justa;2.353,49;8.073,14;929,44;151.990,78;17.350,00;320.678,92;–;10;501.385,77;501.385.770,00
24.103;Instituto de la Cinematografía y de las Artes Audiovisuales;8.549,22;4.854,85;40;153.721,17;835;–;30;54;168.084,24;168.084.240,00
24.104;Biblioteca Nacional de España;17.226,78;10.262,95;–;661,17;6.094,18;–;–;63;34.308,08;34.308.080,00
24.105;Gerencia de Infraestructuras y Equipamientos de Cultura;5.478,30;4.000,00;4;–;99.359,62;50;–;27;108.918,92;108.918.920,00
24.107;Instituto Nacional de las Artes Escénicas y de la Música;55.645,65;56.294,93;83,48;54.910,81;8.037,98;7.551,00;–;431,72;182.955,57;182.955.570,00
26.105;Organización Nacional de Trasplantes;2.930,47;1.107,12;–;2.126,62;267,55;–;–;25;6.456,76;6.456.760,00
27.101;Instituto Nacional de Estadística;121.426,15;29.454,40;36,31;518,58;38.793,65;2.312,46;–;247,62;192.789,17;192.789.170,00
27.102;Instituto de Contabilidad y Auditoría de Cuentas;5.679,20;3.768,50;0,6;810,41;629,06;–;–;20;10.907,77;10.907.770,00
28.101;Universidad Internacional Menéndez Pelayo;5.086,86;9.257,03;34,35;9.111,69;1.144,13;–;–;15,13;24.649,19;24.649.190,00
28.102;Servicio Español para la Internacionalización de la Educación;7.624,87;5.526,74;5,35;40.203,64;616,29;–;–;16,5;53.993,39;53.993.390,00
28.103;Centro de Investigaciones Energéticas, Medioambientales y Tecnológicas;59.677,91;27.025,51;1.139,36;554,2;53.507,36;2.225,65;128;450;144.707,99;144.707.990,00
28.104;Agencia Nacional de Evaluación de la Calidad y Acreditación;5.074,41;6.566,23;1;1.220,00;–;–;15;–;12.876,64;12.876.640,00
28.107;Instituto de Salud Carlos III;45.229,23;24.655,41;60;85.896,22;74.399,25;259.106,04;–;226;489.572,15;489.572.150,00
29.101;Agencia Española de Seguridad Alimentaria y Nutrición;10.990,30;5.350,37;5;3.168,72;–;30;–;–;19.544,39;19.544.390,00
29.102;Real Patronato sobre Discapacidad;663,28;371,92;–;8.778,91;57,5;200;–;6,51;10.078,12;10.078.120,00
30.101;Instituto de las Mujeres;6.353,48;10.250,07;–;7.629,00;3.154,75;100;–;23,71;27.511,01;27.511.010,00
31.101;Instituto de la Juventud;9.421,25;8.519,20;26;36.032,97;197,22;50;–;29,95;54.276,59;54.276.590,00
33.101;Instituto Nacional de Administración Pública;23.166,33;27.520,46;0,82;63.616,43;4.144,49;–;–;50;118.498,53;118.498.530,00
33.102;Mutualidad General de Funcionarios Civiles del Estado;31.536,02;1.195.866,45;137,03;706.821,34;4.375,32;–;–;180,3;1.938.916,46;1.938.916.460,00
–;TOTAL;2.086.756,64;3.142.464,70;6.975,68;36.211.441,42;1.402.942,61;2.314.548,59;7.243,77;36.289,60;45.208.663,01;45.208.663.010,00
