Programa;Económica;Explicación;Total (miles euros);Total (euros)
111Q;1;GASTOS DE PERSONAL;5.384,10;5.384.100,00
111Q;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;3.022,68;3.022.680,00
111Q;3;GASTOS FINANCIEROS;5;5.000,00
111Q;4;TRANSFERENCIAS CORRIENTES;962,12;962.120,00
111Q;6;INVERSIONES REALES;777;777.000,00
111Q;8;ACTIVOS FINANCIEROS;4,07;4.070,00
—;—;TOTAL Programa 111Q;10.154,97;10.154.970,00
111R;1;GASTOS DE PERSONAL;3.856,58;3.856.580,00
111R;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.942,81;1.942.810,00
111R;4;TRANSFERENCIAS CORRIENTES;4.312,79;4.312.790,00
—;—;TOTAL Programa 111R;10.112,18;10.112.180,00
13.101;;Centro de Estudios Jurídicos;20.267,15;20.267.150,00
