;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Presupuesto de gastos;
;;
;Sección: 13 MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;
;Organismo: 102 MUTUALIDAD GENERAL JUDICIAL;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Programa;Económica;Explicación;;Total;
v;;;MUTUALIDAD GENERAL JUDICIAL;;;
v;222M;;Prestaciones económicas del Mutualismo Administrativo;;;
v;;1;GASTOS DE PERSONAL;;;
;;12;Funcionarios;;5.037,51;
;;120;Retribuciones básicas;;2.978,40;
;;12000;  Sueldos del grupo A1 y grupo A;195,50;;
;;12001;  Sueldos del grupo A2 y grupo B;372,28;;
;;12002;  Sueldos del grupo C1 y grupo C;1.185,95;;
;;12003;  Sueldos del grupo C2 y grupo D;85,57;;
;;12005;  Trienios;628,39;;
;;12006;  Pagas extraordinarias;510,71;;
;;121;Retribuciones complementarias;;2.059,11;
;;12100;  Complemento de destino;731,51;;
;;12101;  Complemento específico;1.052,85;;
;;12102;  Indemnización por residencia;4,75;;
;;12181;  Necesidades adicionales;270,00;;
;;13;Laborales;;109,99;
;;130;Laboral fijo;;67,89;
;;13000;  Retribuciones básicas;60,59;;
;;13001;  Otras remuneraciones;7,30;;
;;131;Laboral eventual;;42,10;
;;14;Otro personal;;94,21;
;;143;Otro personal;;94,21;
v;;15;Incentivos al rendimiento;;283,99;
v;;150;Productividad;;93,03;
v;;151;Gratificaciones;;30,92;
v;;152;Otros incentivos al rendimiento;;160,04;
;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;746,46;
;;160;Cuotas sociales;;638,22;
v;;16000;  Seguridad Social;638,22;;
;;162;Gastos sociales del personal;;108,24;
v;;16200;  Formación y perfeccionamiento del personal;10,00;;
v;;16201;  Economatos y comedores;86,66;;
v;;16204;  Acción social;9,23;;
;;16209;  Otros;2,35;;
;;;TOTAL GASTOS DE PERSONAL;;6.272,16;
 ; ;;;;;
v;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;;20;Arrendamientos y cánones;;13,90;
v;;202;Arrendamientos de edificios y otras construcciones;;13,60;
