;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Resumen general por capítulos del presupuesto de gastos;
;;
;Sección: 13 MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;Total;
1; GASTOS DE PERSONAL;83.814,13;
2; GASTOS CORRIENTES EN BIENES Y SERVICIOS;136.606,31;
3; GASTOS FINANCIEROS;30,57;
4; TRANSFERENCIAS CORRIENTES;48.967,54;
;TOTAL OPERACIONES CORRIENTES;269.418,55;
6; INVERSIONES REALES;43.848,95;
7; TRANSFERENCIAS DE CAPITAL;500,00;
;TOTAL OPERACIONES DE CAPITAL;44.348,95;
;TOTAL OPERACIONES NO FINANCIERAS;313.767,50;
8; ACTIVOS FINANCIEROS;484,44;
;TOTAL Capítulos 1-8;314.251,94;
9; PASIVOS FINANCIEROS;60,00;
;TOTAL Capítulo 9;60,00;
;TOTAL PRESUPUESTO;314.311,94;
;TOTAL CONSOLIDADO;314.311,94;
;;



