Programa;Económica;Explicación;Total (miles euros);Total (euros)
122A;6;INVERSIONES REALES – Infraestructura militar;118.322,66;118.322.660,00
—;—;TOTAL Programa 122A;118.322,66;118.322.660,00
122N;1;GASTOS DE PERSONAL;14.568,44;14.568.440,00
122N;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;34.940,25;34.940.250,00
122N;3;GASTOS FINANCIEROS;70;70.000,00
122N;4;TRANSFERENCIAS CORRIENTES;55.000,00;55.000.000,00
122N;6;INVERSIONES REALES;31.589,59;31.589.590,00
122N;8;ACTIVOS FINANCIEROS;130;130.000,00
—;—;TOTAL Programa 122N;136.298,28;136.298.280,00
000X;4;TRANSFERENCIAS CORRIENTES;388,25;388.250,00
000X;7;TRANSFERENCIAS DE CAPITAL;100;100.000,00
—;—;TOTAL Programa 000X;488,25;488.250,00
14.107;;Instituto de Vivienda, Infraestructura y Equipamiento de la Defensa;255.109,19;255.109.190,00
