Programa;Económica;Explicación;Total (miles €);Total (€)
462N;1;GASTOS DE PERSONAL;4.961,20;4.961.200,00
462N;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;708,89;708.890,00
462N;4;TRANSFERENCIAS CORRIENTES;186,19;186.190,00
462N;6;INVERSIONES REALES;620;620.000,00
462N;8;ACTIVOS FINANCIEROS;35,74;35.740,00
—;—;TOTAL Programa 462N;6.512,02;6.512.020,00
92SC;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.941,00;2.941.000,00
—;—;TOTAL Programa 92SC;2.941,00;2.941.000,00
923N;1;GASTOS DE PERSONAL;15.946,53;15.946.530,00
923N;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;8.111,04;8.111.040,00
923N;3;GASTOS FINANCIEROS;6,75;6.750,00
923N;4;TRANSFERENCIAS CORRIENTES;210;210.000,00
923N;6;INVERSIONES REALES;810;810.000,00
923N;8;ACTIVOS FINANCIEROS;35,74;35.740,00
—;—;TOTAL Programa 923N;25.120,06;25.120.060,00
15.101;;Instituto de Estudios Fiscales;34.573,08;34.573.080,00
