Económica;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;66.226,29;66.226.290,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;20.987,36;20.987.360,00
3;GASTOS FINANCIEROS;121,9;121.900,00
4;TRANSFERENCIAS CORRIENTES;21.849,85;21.849.850,00
—;TOTAL OPERACIONES CORRIENTES;109.185,40;109.185.400,00
6;INVERSIONES REALES;3.920,57;3.920.570,00
—;TOTAL OPERACIONES DE CAPITAL;3.920,57;3.920.570,00
—;TOTAL OPERACIONES NO FINANCIERAS;113.105,97;113.105.970,00
8;ACTIVOS FINANCIEROS;173;173.000,00
—;TOTAL PRESUPUESTO;113.278,97;113.278.970,00
4;TRANSFERENCIAS CORRIENTES;–21.453,66;–21.453.660,00
—;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;–21.453,66;–21.453.660,00
TOTAL CONSOLIDADO;;91.825,31;91.825.310,00
