;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Presupuesto de gastos;
;;
;Sección: 17 MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;
;Organismo: 102 CENTRO NACIONAL DE INFORMACIÓN GEOGRÁFICA;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Programa;Económica;Explicación;;Total;
v;;;CENTRO NACIONAL DE INFORMACIÓN GEOGRÁFICA;;;
v;495A;;Desarrollo y aplicación de la información geográfica española;;;
v;;1;GASTOS DE PERSONAL;;;
;;12;Funcionarios;;2.040,55;
;;120;Retribuciones básicas;;1.137,76;
;;12000;  Sueldos del grupo A1 y grupo A;237,82;;
;;12001;  Sueldos del grupo A2 y grupo B;308,47;;
;;12002;  Sueldos del grupo C1 y grupo C;183,35;;
;;12003;  Sueldos del grupo C2 y grupo D;48,19;;
;;12005;  Trienios;189,09;;
;;12006;  Pagas extraordinarias;170,84;;
;;121;Retribuciones complementarias;;902,79;
;;12100;  Complemento de destino;469,50;;
;;12101;  Complemento específico;433,29;;
;;13;Laborales;;371,23;
;;130;Laboral fijo;;201,36;
;;13000;  Retribuciones básicas;197,52;;
;;13001;  Otras remuneraciones;3,84;;
;;131;Laboral eventual;;169,87;
v;;15;Incentivos al rendimiento;;252,07;
v;;150;Productividad;;221,45;
v;;151;Gratificaciones;;30,62;
;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;266,07;
;;160;Cuotas sociales;;197,99;
v;;16000;  Seguridad Social;197,99;;
;;162;Gastos sociales del personal;;68,08;
v;;16200;  Formación y perfeccionamiento del personal;1,78;;
v;;16201;  Economatos y comedores;40,00;;
v;;16204;  Acción social;15,82;;
;;16205;  Seguros;4,68;;
;;16209;  Otros;5,80;;
;;;TOTAL GASTOS DE PERSONAL;;2.929,92;
 ; ;;;;;
v;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;;20;Arrendamientos y cánones;;29,19;
