Programa;Económica;Explicación;Total (miles euros);Total (euros)
33ZA;C26.I01 Plan de Digitalización del Sector Deporte;55.263,09;55.263,09;55.263.090,00
33ZB;C26.I02 Plan de Transición Ecológica de Instalaciones Deportivas;68.998,19;68.998,19;68.998.190,00
33ZC;C26.I03 Plan Social del Sector Deporte;16.000,00;16.000,00;16.000.000,00
336A;1;GASTOS DE PERSONAL;13.155,23;13.155.230,00
336A;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;16.303,22;16.303.220,00
336A;3;GASTOS FINANCIEROS;160;160.000,00
336A;4;TRANSFERENCIAS CORRIENTES;191.849,22;191.849.220,00
336A;6;INVERSIONES REALES;4.127,98;4.127.980,00
336A;7;TRANSFERENCIAS DE CAPITAL;17.832,66;17.832.660,00
336A;8;ACTIVOS FINANCIEROS;642,51;642.510,00
—;—;TOTAL Programa 336A;244.070,82;244.070.820,00
18.106;;Consejo Superior de Deportes;384.332,10;384.332.100,00
