Económica;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;13.155,23;13.155.230,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;63.937,85;63.937.850,00
3;GASTOS FINANCIEROS;160;160.000,00
4;TRANSFERENCIAS CORRIENTES;202.539,22;202.539.220,00
—;TOTAL OPERACIONES CORRIENTES;279.792,30;279.792.300,00
6;INVERSIONES REALES;31.769,63;31.769.630,00
7;TRANSFERENCIAS DE CAPITAL;72.127,66;72.127.660,00
—;TOTAL OPERACIONES DE CAPITAL;103.897,29;103.897.290,00
—;TOTAL OPERACIONES NO FINANCIERAS;383.689,59;383.689.590,00
8;ACTIVOS FINANCIEROS;642,51;642.510,00
—;TOTAL PRESUPUESTO;384.332,10;384.332.100,00
—;TOTAL CONSOLIDADO;384.332,10;384.332.100,00
