;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Resumen general por capítulos del presupuesto de gastos;
;;
;Sección: 18 MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;Total;
1; GASTOS DE PERSONAL;13.155,23;
2; GASTOS CORRIENTES EN BIENES Y SERVICIOS;63.937,85;
3; GASTOS FINANCIEROS;160,00;
4; TRANSFERENCIAS CORRIENTES;202.539,22;
;TOTAL OPERACIONES CORRIENTES;279.792,30;
6; INVERSIONES REALES;31.769,63;
7; TRANSFERENCIAS DE CAPITAL;72.127,66;
;TOTAL OPERACIONES DE CAPITAL;103.897,29;
;TOTAL OPERACIONES NO FINANCIERAS;383.689,59;
8; ACTIVOS FINANCIEROS;642,51;
;TOTAL PRESUPUESTO;384.332,10;
;TOTAL CONSOLIDADO;384.332,10;
;;



