;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Presupuesto de gastos;
;;
;Sección: 19 MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL;
;Organismo: 101 SERVICIO PÚBLICO DE EMPLEO ESTATAL;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Programa;Económica;Explicación;;Total;
v;;;SERVICIO PÚBLICO DE EMPLEO ESTATAL;;;
v;224A;;Prestaciones económicas por cese de actividad;;;
v;;4;TRANSFERENCIAS CORRIENTES;;;
v;;48;A familias e instituciones sin fines de lucro;;6.136,49;
v;;487;Para pago de cuotas, subvenciones y bonificaciones a la Seguridad Social;;500,00;
;;48702;  Cuota de beneficiarios de la prestación económica por cese de actividad, incluso obligaciones de ejercicios anteriores;500,00;;
v;;489;Prestación económica por cese de actividad de trabajadores autónomos, incluso obligaciones de ejercicios anteriores;;5.636,49;
;;;TOTAL TRANSFERENCIAS CORRIENTES;;6.136,49;
 ; ;;;;;
;;;TOTAL Prestaciones económicas por cese de actividad;;6.136,49;
 ; ;;;;;
 ; ;;;;;
v;241A;;Fomento de la inserción y estabilidad laboral;;;
v;;1;GASTOS DE PERSONAL;;;
;;10;Altos cargos;;61,04;
;;100;Retribuciones básicas y otras remuneraciones;;61,04;
;;10000;  Retribuciones básicas;18,91;;
;;10001;  Retribuciones complementarias;42,13;;
;;12;Funcionarios;;15.063,86;
;;120;Retribuciones básicas;;8.152,39;
;;12000;  Sueldos del grupo A1 y grupo A;163,51;;
;;12001;  Sueldos del grupo A2 y grupo B;2.172,11;;
;;12002;  Sueldos del grupo C1 y grupo C;2.200,26;;
;;12003;  Sueldos del grupo C2 y grupo D;1.212,77;;
;;12005;  Trienios;1.013,99;;
;;12006;  Pagas extraordinarias;1.389,75;;
;;121;Retribuciones complementarias;;6.911,47;
;;12100;  Complemento de destino;3.163,66;;
;;12101;  Complemento específico;3.332,60;;
;;12102;  Indemnización por residencia;238,23;;
;;12103;  Otros complementos;176,98;;
;;13;Laborales;;2.145,04;
;;130;Laboral fijo;;1.810,21;
;;13000;  Retribuciones básicas;1.294,88;;
;;13001;  Otras remuneraciones;515,33;;
;;131;Laboral eventual;;334,83;
v;;15;Incentivos al rendimiento;;2.918,25;
v;;150;Productividad;;2.858,95;
v;;151;Gratificaciones;;59,30;
;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;3.548,01;
;;160;Cuotas sociales;;3.449,81;
v;;16000;  Seguridad Social;3.449,81;;
;;162;Gastos sociales del personal;;98,20;
v;;16200;  Formación y perfeccionamiento del personal;60,00;;
v;;16204;  Acción social;38,20;;
;;;TOTAL GASTOS DE PERSONAL;;23.736,20;
 ; ;;;;;
v;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;;20;Arrendamientos y cánones;;2.305,72;
v;;202;Arrendamientos de edificios y otras construcciones;;310,00;
;;205;Arrendamientos de mobiliario y enseres;;39,13;
;;206;Arrendamientos de equipos para procesos de información;;1.956,59;
;;21;Reparaciones, mantenimiento y conservación;;2.768,26;
;;212;Edificios y otras construcciones;;303,27;
;;213;Maquinaria, instalaciones y utillaje;;40,11;
;;214;Elementos de transporte;;4,60;
;;215;Mobiliario y enseres;;13,69;
;;216;Equipos para procesos de la información;;2.406,59;
;;22;Material, suministros y otros;;18.727,18;
;;220;Material de oficina;;34,92;
;;22000;  Ordinario no inventariable;26,41;;
;;22001;  Prensa, revistas, libros y otras publicaciones;7,83;;
;;22002;  Material informático no inventariable;0,68;;
;;221;Suministros;;447,31;
;;22100;  Energía eléctrica;337,42;;
;;22101;  Agua;30,33;;
;;22103;  Combustible;24,46;;
;;22104;  Vestuario;12,72;;
;;22106;  Productos farmacéuticos y material sanitario;3,91;;
v;;22109;  Labores Fábrica Nacional Moneda y Timbre;30,00;;
;;22111;  Suministros de repuestos de maquinaria, utillaje y elementos de transporte;0,05;;
;;22112;  Suministros de material electrónico, eléctrico y de comunicaciones;1,57;;
;;22199;  Otros suministros;6,85;;
;;222;Comunicaciones;;0,02;
;;22200;  Servicios de telecomunicaciones;0,02;;
;;223;Transportes;;127,18;
;;224;Primas de seguros;;13,70;
;;225;Tributos;;101,31;
;;22500;  Estatales;1,03;;
;;22501;  Autonómicos;0,28;;
v;;22502;  Locales;100,00;;
;;226;Gastos diversos;;1.359,40;
v;;22601;  Atenciones protocolarias y representativas;1,00;;
;;22602;  Publicidad y propaganda;313,59;;
;;22603;  Jurídicos, contenciosos;684,81;;
;;22606;  Reuniones, conferencias y cursos;360,00;;
;;227;Trabajos realizados por otras empresas y profesionales;;16.643,34;
;;22700;  Limpieza y aseo;136,96;;
;;22701;  Seguridad;88,05;;
;;22705;  Procesos electorales y consultas populares;0,88;;
;;22706;  Estudios y trabajos técnicos;14.500,00;;
;;22799;  Otros;1.917,45;;
;;23;Indemnizaciones por razón del servicio;;361,97;
;;230;Dietas;;117,40;
;;231;Locomoción;;146,74;
;;233;Otras indemnizaciones;;97,83;
;;24;Gastos de publicaciones;;0,39;
;;240;Gastos de edición y distribución;;0,39;
;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;24.163,52;
 ; ;;;;;
v;;3;GASTOS FINANCIEROS;;;
v;;35;Intereses de demora y otros gastos financieros;;160,56;
v;;352;Intereses de demora;;137,56;
v;;359;Otros gastos financieros;;23,00;
;;;TOTAL GASTOS FINANCIEROS;;160,56;
 ; ;;;;;
v;;4;TRANSFERENCIAS CORRIENTES;;;
v;;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;57,05;
v;;441;Reserva de gestión directa Servicio Público de Empleo Estatal. Trabajo Penitenciario y Formación para el Empleo. Oportunidades de empleo para desempleados en obras y servicios de interés general y social (EJE 3);;57,05;
v;;45;A Comunidades Autónomas;;1.652.800,25;
v;;454;Gestión por Comunidades Autónomas de servicios y programas de políticas activas de empleo: empleo y formación;;1.424.300,25;
;;45400;  Orientación profesional (EJE 1);508.732,07;;
;;45402;  Oportunidades de empleo (EJE 3);747.204,60;;
;;45403;  Fomento de la igualdad de oportunidades para el empleo (EJE 4);45.000,00;;
;;45406;  Subvenciones de cuotas a la Seguridad Social de la capitalización de prestaciones por desempleo y promoción de la actividad económica territorial. Emprendimiento (EJE 5);30.000,00;;
;;45409;  Flexibilidad: Formación y recualificación (EJE 2);10.000,00;;
;;45490;  Programa de refuerzo de los Servicios Públicos de Empleo Autonómicos en las labores de orientación y prospección para el empleo;83.363,58;;
v;;455;Planes integrales de empleo y otras actuaciones en materia de empleo, mediante convenios de colaboración con Comunidades Autónomas;;140.000,00;
v;;45510;  Plan integral de empleo de Canarias;45.000,00;;
v;;45512;  Plan integral de empleo de Andalucía;50.000,00;;
v;;45513;  Plan integral de empleo de Extremadura;15.000,00;;
v;;45515;  A la Comunidad Autónoma de Canarias para el plan integral de empleo de la Isla de La Palma;30.000,00;;
v;;458;Para la modernización de los servicios públicos de empleo, según la Ley 45/2002, de 12 de diciembre, y mejora del marco institucional del sistema nacional de empleo (EJE 6);;88.500,00;
;;45800;  Mejora del marco institucional del Sistema Nacional de Empleo;73.500,00;;
;;45801;  Mejora de las oficinas de empleo;15.000,00;;
v;;46;A Entidades Locales;;293.784,76;
v;;460;Gestión de servicios y programas de políticas activas de empleo en territorio no transferido;;8.749,63;
;;46000;  Orientación profesional (EJE 1);13,53;;
;;46001;  Oportunidades de empleo (EJE 3);8.517,79;;
;;46002;  Subvención de cuotas a la Seguridad Social de la capitalización de prestaciones por desempleo y promoción de la actividad económica territorial. Emprendimiento (EJE 5);218,31;;
v;;461;Programa de fomento de empleo agrario (EJE 3);;285.035,13;
;;46101;  Andalucía y Extremadura;246.619,00;;
;;46102;  Zonas rurales deprimidas;38.416,13;;
v;;47;A empresas privadas;;2.249,45;
v;;472;Gestión de servicios y programas de políticas activas de empleo en territorio no transferido;;2.249,45;
;;47200;  Oportunidades de empleo (EJE 3);1.122,24;;
;;47201;  Subvención de cuotas a la Seguridad Social de la capitalización de prestaciones por desempleo y promoción de la actividad económica territorial. Emprendimiento (EJE 5);1.127,21;;
v;;48;A familias e instituciones sin fines de lucro;;2.119.900,43;
v;;481;A familias e instituciones sin fines de lucro;;2.700,00;
;;48100;  Dotación para facilitar la reinserción laboral de los trabajadores que pierdan su empleo en determinados sectores productivos afectados por la apertura de mercados y la internacionalización de la economía (Reales Decretos 5/2008, 100/2009, 1678/2009, 1679/2009) en Ceuta y Melilla (VARIOS EJES);200,00;;
;;48101;  Dotación para facilitar la reinserción laboral de los trabajadores que pierdan su empleo en determinados sectores productivos afectados por la apertura de mercados y la internacionalización de la economía (Real Decreto 1010/2009, y en su caso, otros) (VARIOS EJES);2.500,00;;
v;;482;Reserva de gestión directa del Servicio Público de Empleo Estatal de créditos destinados a programas de fomento de empleo;;34.106,68;
;;48210;  Oportunidades de empleo (EJE 3);34.106,68;;
v;;485;Gestión de servicios y programas de políticas activas de empleo en territorio no transferido;;4.024,93;
;;48500;  Orientación profesional y agencias de colocación en territorio no transferido (EJE 1);1.861,60;;
;;48501;  Oportunidades de empleo (EJE 3);1.837,90;;
;;48502;  Igualdad de oportunidades en el acceso al empleo (EJE 4);325,43;;
v;;486;Dotación para facilitar la reinserción laboral de los trabajadores que pierdan su empleo en determinados sectores productivos afectados por la apertura de mercados y la internacionalización de la economía (VARIOS EJES);;3.168,82;
;;48603;  Real Decreto 196/2010 y otros;3.168,82;;
v;;487;Para pago de cuotas, subvenciones y bonificaciones a la Seguridad Social;;2.075.900,00;
v;;48703;  Financiación de las bonificaciones en las cotizaciones de la Seguridad Social acogidas a medidas de fomento de empleo por contratación laboral, incluso obligaciones de ejercicios anteriores (EJE 3);2.075.900,00;;
v;;49;Al exterior;;402,00;
v;;491;Cuotas a la Asociación Mundial de los Servicios Públicos de Empleo (AMSPE) y otras organizaciones internacionales;;17,50;
v;;492;Cuota PIACC y otras contribuciones a la OCDE;;370,00;
v;;493;Cuota anual CINTERFOR-OIT, incluso obligaciones de ejercicios anteriores;;14,50;
;;;TOTAL TRANSFERENCIAS CORRIENTES;;4.069.193,94;
 ; ;;;;;
v;;6;INVERSIONES REALES;;;
;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;1.420,92;
;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;1.420,92;
;;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;2.190,00;
;;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;;2.190,00;
;;;TOTAL INVERSIONES REALES;;3.610,92;
 ; ;;;;;
v;;8;ACTIVOS FINANCIEROS;;;
v;;83;Concesión de préstamos fuera del Sector Público;;79,40;
v;;831;Préstamos a largo plazo;;79,40;
;;83108;  Familias e instituciones sin fines de lucro;79,40;;
;;;TOTAL ACTIVOS FINANCIEROS;;79,40;
