;PRESUPUESTOS GENERALES DEL ESTADO;
;RESTO DE ENTIDADES;
;Resumen general por artículos y secciones del presupuesto de gastos;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;Secc. 12;Secc. 13;Secc. 14;Secc. 15;Secc. 17;Secc. 18;Secc. 19;Secc. 23;Secc. 24;Secc. 26;Secc. 27;Secc. 28;Secc. 33;;Total;
1;GASTOS DE PERSONAL;120.934,87;32.296,79;216.651,66;1.036.232,39;30.204,23;1.888,94;4.414,06;71.452,13;42.526,03;29.660,17;35.947,14;525.067,39;2.463,70;;2.149.739,50;
10; Altos cargos;314,83;236,65;;1.169,34;194,38;76,65;193,29;889,96;276,46;87,23;1.187,50;258,06;113,90;;4.998,25;
11; Personal eventual;;;;;;;;1.291,70;;;160,38;;;;1.452,08;
12; Funcionarios;15.390,82;13.879,96;216.651,66;823.994,76;21.902,08;705,76;;52.326,92;4.108,11;19.448,92;9.638,08;303.643,95;1.829,17;;1.483.520,19;
13; Laborales;79.140,57;10.145,25;;43.767,85;840,93;455,90;2.907,10;3.677,32;28.594,13;2.418,15;16.946,43;85.739,56;;;274.633,19;
14; Otro personal;;;;;;;346,05;1.389,43;;;;168,27;;;1.903,75;
15; Incentivos al rendimiento;1.217,48;1.800,67;;88.522,33;2.467,65;142,14;;4.642,35;353,61;2.032,69;1.490,33;31.116,60;200,71;;133.986,56;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;24.871,17;6.234,26;;78.778,11;4.799,19;508,49;967,62;7.234,45;9.193,72;5.673,18;6.524,42;104.140,95;319,92;;249.245,48;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;108.118,89;14.564,67;56.929,09;265.002,84;56.368,09;3.790,66;2.017,82;40.927,57;38.634,50;23.374,06;21.216,49;257.664,71;824,68;;889.434,07;
20; Arrendamientos y cánones;17.182,91;2.213,45;;26.889,93;75,94;140,00;32,92;2.258,27;773,00;4.156,26;165,12;6.795,65;220,00;;60.903,45;
21; Reparaciones, mantenimiento y conservación;3.977,21;2.624,48;;32.282,20;7.481,85;23,80;309,41;12.551,93;3.664,00;1.071,15;1.010,93;22.397,76;7,00;;87.401,72;
22; Material, suministros y otros;81.499,75;6.726,38;56.929,09;197.710,71;47.266,90;1.617,57;1.533,76;23.667,19;33.372,50;16.814,90;19.053,71;203.125,63;551,48;;689.869,57;
23; Indemnizaciones por razón del servicio;5.117,02;312,20;;8.110,00;1.543,40;92,75;55,70;2.200,18;175,00;1.246,99;986,73;24.369,41;27,00;;44.236,38;
24; Gastos de publicaciones;342,00;1,00;;10,00;;0,50;86,03;250,00;650,00;84,76;;976,26;19,20;;2.419,75;
27; Compras, suministros y otros gastos;;2.687,16;;;;;;;;;;;;;2.687,16;
29; Gastos corrientes en bienes y servicios. Mecanismo de Recuperación y Resiliencia;;;;;;1.916,04;;;;;;;;;1.916,04;
3;GASTOS FINANCIEROS;719,70;328,95;;80,00;10,00;;;471,00;12,00;;298,50;1.996,18;1,00;;3.917,33;
31; De préstamos en euros;;;;10,00;;;;;;;;;;;10,00;
35; Intereses de demora y otros gastos financieros;719,70;328,95;;70,00;10,00;;;471,00;12,00;;298,50;1.996,18;1,00;;3.907,33;
4;TRANSFERENCIAS CORRIENTES;558.442,90;389,60;;1.200,80;230,84;632,87;1.512,45;11.030,69;518,00;1.767,00;110.690,38;11.430,98;10,00;;697.856,51;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;7.933,00;;;80,00;;;;;;;110.000,00;1.073,86;;;119.086,86;
45; A Comunidades Autónomas;;273,00;;60,00;;100,00;;265,00;;168,00;;5.040,24;;;5.906,24;
46; A Entidades Locales;55,00;;;;;;;;;;;;;;55,00;
47; A empresas privadas;;;;80,00;2,10;;;;;;;;;;82,10;
