Orgánica;Explicación;Cap. 1;Cap. 2;Cap. 3;Cap. 4;Cap. 6;Cap. 7;Cap. 8;Cap. 9;Total (miles euros);Total (euros)
12;MINISTERIO DE ASUNTOS EXTERIORES, UE Y COOPERACIÓN;120.934,87;108.118,89;719,7;558.442,90;14.103,12;45.157,02;136;–;847.612,50;847.612.500,00
12.301;INSTITUTO CERVANTES;69.629,31;65.464,67;675;523,00;6.847,97;–;50;–;143.189,95;143.189.950,00
12.302;AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO;51.305,56;42.654,22;44,7;557.919,90;7.255,15;45.157,02;86;–;704.422,55;704.422.550,00
13;MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;32.296,79;14.564,67;328,95;1.709,30;2.814,27;–;151,2;–;51.865,18;51.865.180,00
13.301;AGENCIA ESPAÑOLA DE PROTECCIÓN DE DATOS;11.600,40;5.468,24;320,95;351,59;998,35;–;11,2;–;18.750,73;18.750.730,00
13.303;AGENCIA ESTATAL BOLETÍN OFICIAL DEL ESTADO;20.696,39;9.096,43;8;1.357,71;1.815,92;–;140;–;33.114,45;33.114.450,00
14;MINISTERIO DE DEFENSA;216.651,66;56.929,09;–;–;63.124,85;50;300;–;337.055,60;337.055.600,00
14.301;CENTRO NACIONAL DE INTELIGENCIA;216.651,66;56.929,09;–;–;63.124,85;50;300;–;337.055,60;337.055.600,00
15;MINISTERIO DE HACIENDA;1.036.232,39;265.002,84;80;1.200,80;103.191,79;–;744,97;–;1.406.452,79;1.406.452.790,00
15.301;AUTORIDAD INDEPENDIENTE DE RESPONSABILIDAD FISCAL;6.731,21;3.445,69;30;160,00;200,00;–;12;–;10.578,90;10.578.900,00
15.302;AGENCIA ESTATAL DE ADMINISTRACIÓN TRIBUTARIA;1.029.501,18;261.557,15;50;1.040,80;102.991,79;–;732,97;–;1.395.873,89;1.395.873.890,00
17;MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;30.204,23;56.368,09;10;1.325,47;12.266,94;–;5,77;–;100.180,50;100.180.500,00
17.301;AGENCIA ESTATAL DE SEGURIDAD AÉREA;23.308,18;53.774,94;10,00;1.220,60;5.397,49;–;5,77;–;83.716,98;83.716.980,00
17.302;AGENCIA ESTATAL DE SEGURIDAD FERROVIARIA;6.896,05;2.593,15;–;104,87;6.869,45;–;–;–;16.463,52;16.463.520,00
18;MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES;1.888,94;3.790,66;–;632,87;318,93;–;12,49;–;6.643,89;6.643.890,00
18.303;AGENCIA ESTATAL COMISIÓN ESPAÑOLA ANTIDOPAJE EN EL DEPORTE;1.888,94;3.790,66;–;632,87;318,93;–;12,49;–;6.643,89;6.643.890,00
19;MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL;4.414,06;2.017,82;–;1.512,45;1.249,97;–;26,55;–;9.220,85;9.220.850,00
19.301;CONSEJO ECONÓMICO Y SOCIAL;4.414,06;2.017,82;–;1.512,45;1.249,97;–;26,55;–;9.220,85;9.220.850,00
23;MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO;71.452,13;40.927,57;471;11.999,00;21.196,00;36.444,44;168;–;182.658,14;182.658.140,00
23.301;AGENCIA ESTATAL DE METEOROLOGÍA;43.247,06;28.635,07;50;9.786,57;16.925,00;35.014,44;100;–;133.758,14;133.758.140,00
23.302;CONSEJO DE SEGURIDAD NUCLEAR;28.205,07;12.292,50;421;2.212,43;4.271,00;1.430,00;68;–;48.900,00;48.900.000,00
26;MINISTERIO DE SANIDAD;29.660,17;23.374,06;–;23.530,26;3.881,39;–;80;–;80.525,88;80.525.880,00
26.301;AGENCIA ESPAÑOLA DE MEDICAMENTOS Y PRODUCTOS SANITARIOS;29.660,17;23.374,06;–;23.530,26;3.881,39;–;80;–;80.525,88;80.525.880,00
27;MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA;35.947,14;21.216,49;298,5;110.690,38;4.079,74;3.514.141,75;60,4;–;3.686.434,40;3.686.434.400,00
27.302;COMISIÓN NACIONAL DE LOS MERCADOS Y LA COMPETENCIA;35.947,14;21.216,49;298,5;110.690,38;4.079,74;3.514.141,75;60,4;–;3.686.434,40;3.686.434.400,00
28;MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES;525.067,39;257.664,71;1.996,18;12.925,29;459.362,68;1.689.558,68;348,27;1.177,64;2.948.100,84;2.948.100.840,00
28.301;CONSEJO SUPERIOR DE INVESTIGACIONES CIENTÍFICAS;506.196,27;233.118,39;1.446,18;12.786,54;454.166,15;3.885,79;328,27;1.177,64;1.213.105,23;1.213.105.230,00
28.302;AGENCIA ESPACIAL ESPAÑOLA;6.525,75;5.543,97;250;53,75;2.626,53;300.000,00;–;–;315.000,00;315.000.000,00
28.303;AGENCIA ESTATAL DE INVESTIGACIÓN;12.345,37;19.002,35;300;85;2.570,00;1.385.672,89;20;–;1.419.995,61;1.419.995.610,00
33;MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA;2.463,70;824,68;1,00;10,00;77,00;–;3,00;–;3.379,38;3.379.380,00
33.302;CONSEJO DE TRANSPARENCIA Y BUEN GOBIERNO;2.463,70;824,68;1;10;77;–;3;–;3.379,38;3.379.380,00
;TOTAL PRESUPUESTO;;;;;;;;;9.776.689,38;9.776.689.380,00
